Date,Unit,Profit,HR,SOx,NOx,Gen,Ash Util,Coal Ash %,Biomass,Solar,Vacuum,MS Temp,FG Temp,Spray
2024-04-01,1,,2315.850067,,,8.402,,,,,,,,
2024-04-01,2,,2299.249559,,,8.426,,,,,,,,
2024-04-01,3,,2307.170191,,,8.422,,,,,,,,
2024-04-02,1,,2329.103153,,,7.286,,,,,,,,
2024-04-02,2,,2298.755051,,,8.462,,,,,,,,
2024-04-02,3,,2308.357786,,,8.436,,,,,,,,
2024-04-03,1,,2318.196088,,,8.4,,,,,,,,
2024-04-03,2,,2300.671884,,,8.432,,,,,,,,
2024-04-03,3,,2310.236748,,,8.476,,,,,,,,
2024-04-04,1,,2318.716119,,,8.444,,,,,,,,
2024-04-04,2,,2303.122825,,,8.464,,,,,,,,
2024-04-04,3,,2309.707321,,,8.48,,,,,,,,
2024-04-05,1,,2318.389919,,,8.401,,,,,,,,
2024-04-05,2,,2304.202196,,,8.469,,,,,,,,
2024-04-05,3,,2309.315397,,,8.478,,,,,,,,
2024-04-06,1,,2320.730192,,,8.416,,,,,,,,
2024-04-06,2,,2303.851189,,,8.49,,,,,,,,
2024-04-06,3,,2310.768079,,,8.448,,,,,,,,
2024-04-07,1,,2322.690422,,,8.098,,,,,,,,
2024-04-07,2,,2304.381843,,,8.266,,,,,,,,
2024-04-07,3,,2312.556039,,,8.12,,,,,,,,
2024-04-08,1,,2320.295662,,,8.254,,,,,,,,
2024-04-08,2,,2303.364745,,,8.36,,,,,,,,
2024-04-08,3,,2343.136088,,,6.074,,,,,,,,
2024-04-09,1,,2322.078861,,,8.236,,,,,,,,
2024-04-09,2,,2305.298645,,,8.302,,,,,,,,
2024-04-09,3,,2310.954167,,,8.316,,,,,,,,
2024-04-10,1,,2328.179917,,,7.79,,,,,,,,
2024-04-10,2,,2309.270388,,,7.868,,,,,,,,
2024-04-10,3,,2308.630638,,,8.462,,,,,,,,
2024-04-11,1,,2326.350699,,,7.788,,,,,,,,
2024-04-11,2,,2308.559298,,,7.918,,,,,,,,
2024-04-11,3,,2313.184971,,,8.314,,,,,,,,
2024-04-12,1,,2328.824207,,,7.736,,,,,,,,
2024-04-12,2,,2309.921051,,,7.882,,,,,,,,
2024-04-12,3,,2309.80938,,,8.452,,,,,,,,
2024-04-13,1,,2322.7785,,,8.202,,,,,,,,
2024-04-13,2,,2305.876228,,,8.262,,,,,,,,
2024-04-13,3,,2308.684429,,,8.464,,,,,,,,
2024-04-14,1,,2324.726017,,,8.07,,,,,,,,
2024-04-14,2,,2306.468225,,,8.274,,,,,,,,
2024-04-14,3,,2310.951666,,,8.4,,,,,,,,
2024-04-15,1,,2319.903558,,,8.328,,,,,,,,
2024-04-15,2,,2259.341242,,,8.482,,,,,,,,
2024-04-15,3,,2315.139845,,,7.94,,,,,,,,
2024-04-16,1,,2325.624209,,,8.122,,,,,,,,
2024-04-16,2,,2318.902102,,,8.356,,,,,,,,
2024-04-16,3,,2312.415903,,,8.486,,,,,,,,
2024-04-17,1,,2324.8126,,,8.168,,,,,,,,
2024-04-17,2,,2254.288118,,,2.764,,,,,,,,
2024-04-17,3,,2311.522292,,,8.47,,,,,,,,
2024-04-18,1,,2323.155822,,,8.372,,,,,,,,
2024-04-18,2,,0.0,,,0.0,,,,,,,,
2024-04-18,3,,2312.201311,,,8.462,,,,,,,,
2024-04-19,1,,2335.292963,,,7.292,,,,,,,,
2024-04-19,2,,2631.296762,,,1.304,,,,,,,,
2024-04-19,3,,2311.149945,,,8.446,,,,,,,,
2024-04-20,1,,2342.57594,,,6.494,,,,,,,,
2024-04-20,2,,2311.982393,,,7.698,,,,,,,,
2024-04-20,3,,2309.70295,,,8.466,,,,,,,,
2024-04-21,1,,2327.573737,,,7.766,,,,,,,,
2024-04-21,2,,2315.552449,,,7.626,,,,,,,,
2024-04-21,3,,2311.41057,,,8.468,,,,,,,,
2024-04-22,1,,2331.963611,,,7.95,,,,,,,,
2024-04-22,2,,2310.329905,,,8.4,,,,,,,,
2024-04-22,3,,2312.22787,,,8.486,,,,,,,,
2024-04-23,1,,2329.748325,,,8.142,,,,,,,,
2024-04-23,2,,2312.407105,,,8.401,,,,,,,,
2024-04-23,3,,2361.624294,,,4.622,,,,,,,,
2024-04-24,1,,2327.839838,,,8.272,,,,,,,,
2024-04-24,2,,2313.125843,,,8.362,,,,,,,,
2024-04-24,3,,2371.198179,,,3.866,,,,,,,,
2024-04-25,1,,2325.953624,,,8.352,,,,,,,,
2024-04-25,2,,2310.033589,,,8.401,,,,,,,,
2024-04-25,3,,2282.429144,,,0.36,,,,,,,,
2024-04-26,1,,2328.111654,,,8.482,,,,,,,,
2024-04-26,2,,2311.46377,,,8.513,,,,,,,,
2024-04-26,3,,0.0,,,0.0,,,,,,,,
2024-04-27,1,,2325.245693,,,8.502,,,,,,,,
2024-04-27,2,,2311.374697,,,8.536,,,,,,,,
2024-04-27,3,,0.0,,,0.0,,,,,,,,
2024-04-28,1,,2332.926584,,,8.33,,,,,,,,
2024-04-28,2,,2310.267222,,,8.338,,,,,,,,
2024-04-28,3,,0.0,,,0.0,,,,,,,,
2024-04-29,1,,2334.133939,,,8.482,,,,,,,,
2024-04-29,2,,2314.025579,,,8.502,,,,,,,,
2024-04-29,3,,0.0,,,0.0,,,,,,,,
2024-04-30,1,,2335.216666,,,8.452,,,,,,,,
2024-04-30,2,,2313.814061,,,8.504,,,,,,,,
2024-04-30,3,,0.0,,,0.0,,,,,,,,
2024-05-01,1,,2339.280108,,,8.076,,,,,,,,
2024-05-01,2,,2314.291834,,,8.234,,,,,,,,
2024-05-01,3,,0.0,,,0.0,,,,,,,,
2024-05-02,1,,2341.020345,,,8.14,,,,,,,,
2024-05-02,2,,2315.251447,,,8.216,,,,,,,,
2024-05-02,3,,2349.293287,,,1.982,,,,,,,,
2024-05-03,1,,2337.567306,,,8.448,,,,,,,,
2024-05-03,2,,2312.079203,,,8.486,,,,,,,,
2024-05-03,3,,2323.360657,,,8.434,,,,,,,,
2024-05-04,1,,2337.345253,,,8.458,,,,,,,,
