Date,Unit,Gen,HR,Target HR,Profit,Vacuum,MS Temp,FG Temp,Spray,SOx,NOx,Ash Util,Ash Cement,Ash Bricks,Coal Ash %,Biomass,Solar
2024-04-01,1,8.22,2285.77,2310.0,199233.43,-0.93,531.75,128.67,21.89,638.23,459.47,1346.49,807.89,403.95,35.0,300.0,0.02
2024-04-01,3,8.42,2307.17,2309.71,21352.98,-0.9,536.74,137.78,13.17,535.18,419.0,2486.17,1491.7,745.85,45.44,579.0,0.02
2024-04-01,2,8.43,2299.25,2305.65,53889.63,-0.88,536.96,138.0,24.99,634.46,451.71,2486.17,1491.7,745.85,45.44,336.3,0.01
2024-04-02,3,8.44,2308.36,2309.71,11369.93,-0.93,538.12,131.06,24.48,636.17,387.35,2486.17,1491.7,745.85,45.44,0.0,0.02
2024-04-02,1,7.29,2329.1,2324.78,-31513.31,-0.9,536.73,135.34,13.98,647.1,426.68,2486.17,1491.7,745.85,45.44,0.0,0.02
2024-04-02,2,8.46,2298.76,2305.65,58304.4,-0.93,537.24,132.48,19.94,560.81,376.08,2486.17,1491.7,745.85,45.44,0.0,0.02
2024-04-03,2,8.43,2300.67,2305.65,41934.96,-0.89,533.24,132.26,17.54,599.65,382.41,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-03,1,8.4,2318.2,2324.78,55287.78,-0.94,539.66,129.27,23.74,451.07,371.05,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-03,3,8.42,2335.83,2310.0,-217533.01,-0.91,533.67,130.33,17.29,615.94,425.62,1460.76,876.45,438.23,35.0,0.0,0.01
2024-04-04,3,8.1,2339.36,2310.0,-237923.08,-0.92,531.59,139.11,11.15,591.43,464.79,1479.69,887.81,443.91,35.0,0.0,0.02
2024-04-04,1,8.44,2318.72,2324.78,51179.62,-0.89,535.19,132.95,17.87,605.24,422.3,2486.17,1491.7,745.85,45.44,0.0,0.02
2024-04-04,2,8.46,2303.12,2305.65,21387.6,-0.91,539.19,129.58,19.26,522.34,354.55,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-05,1,8.4,2318.39,2324.78,53683.07,-0.89,531.67,133.0,14.77,572.24,475.29,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-05,2,8.47,2304.2,2305.65,12220.75,-0.93,539.42,130.18,14.49,558.48,433.42,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-05,3,8.48,2309.32,2309.71,3307.91,-0.93,538.49,129.88,11.5,555.49,456.24,2486.17,1491.7,745.85,45.44,0.0,0.02
2024-04-06,3,8.45,2310.77,2309.71,-8976.06,-0.91,535.28,133.03,15.67,612.03,384.13,2486.17,1491.7,745.85,45.44,0.0,0.02
2024-04-06,1,7.95,2308.9,2310.0,8775.93,-0.94,530.89,130.51,14.99,638.71,413.13,1369.39,821.63,410.82,35.0,0.0,0.01
2024-04-06,2,8.49,2303.85,2305.65,15231.11,-0.92,536.21,128.5,22.24,450.16,383.15,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-07,3,8.22,2347.64,2310.0,-309421.56,-0.91,537.09,132.3,20.77,554.57,395.13,1338.15,802.89,401.44,35.0,0.0,0.01
2024-04-07,2,8.0,2329.34,2310.0,-154684.75,-0.94,536.71,138.16,20.8,547.11,379.83,1354.87,812.92,406.46,35.0,0.0,0.02
2024-04-07,1,8.1,2322.69,2324.78,16904.94,-0.91,531.77,130.02,11.33,467.51,355.1,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-08,1,8.25,2320.3,2324.78,36996.95,-0.93,531.06,130.78,19.45,491.73,356.18,2486.17,1491.7,745.85,45.44,0.0,0.02
2024-04-08,3,7.96,2337.84,2310.0,-221613.95,-0.9,538.93,133.47,20.61,516.89,435.82,1307.23,784.34,392.17,35.0,0.0,0.02
2024-04-08,2,8.21,2339.17,2310.0,-239512.09,-0.93,540.44,139.48,22.42,456.74,389.36,1307.97,784.78,392.39,35.0,0.0,0.02
2024-04-09,1,8.24,2322.08,2324.78,22229.84,-0.91,538.83,139.5,24.79,570.75,451.74,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-09,2,8.3,2305.3,2305.65,2877.06,-0.89,541.98,130.65,22.31,482.79,409.19,2486.17,1491.7,745.85,45.44,0.0,0.02
2024-04-09,3,8.32,2310.95,2309.71,-10383.32,-0.93,541.2,138.63,14.22,597.19,440.75,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-10,1,7.79,2328.18,2324.78,-26501.19,-0.91,537.71,139.21,11.05,510.25,400.43,2486.17,1491.7,745.85,45.44,0.0,0.02
2024-04-10,3,8.46,2308.63,2309.71,9096.1,-0.94,537.63,135.62,11.81,569.89,401.76,2486.17,1491.7,745.85,45.44,0.0,0.02
2024-04-10,2,8.44,2299.95,2310.0,84792.91,-0.89,531.24,137.93,17.16,604.91,381.62,1626.95,976.17,488.08,35.0,0.0,0.02
2024-04-11,3,7.91,2316.43,2310.0,-50831.42,-0.91,535.86,138.81,10.99,630.54,431.33,1351.41,810.84,405.42,35.0,0.0,0.01
2024-04-11,2,8.01,2343.57,2310.0,-268925.59,-0.92,531.5,130.62,17.1,592.17,376.6,1509.49,905.69,452.85,35.0,0.0,0.02
2024-04-11,1,7.79,2326.35,2324.78,-12248.44,-0.9,539.43,135.56,18.71,484.25,425.4,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-12,2,7.88,2309.92,2305.65,-33702.3,-0.88,534.61,136.13,16.69,481.66,392.76,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-12,1,7.74,2328.82,2324.78,-31301.71,-0.88,540.08,134.38,22.64,582.47,415.96,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-12,3,8.45,2309.81,2309.71,-877.38,-0.89,536.86,133.14,20.63,587.62,416.08,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-13,3,8.46,2308.68,2309.71,8642.95,-0.9,534.35,129.76,15.42,499.44,456.58,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-13,1,8.2,2322.78,2324.78,16399.63,-0.92,537.05,136.78,20.98,475.64,353.12,2486.17,1491.7,745.85,45.44,0.0,0.02
2024-04-13,2,8.26,2305.88,2305.65,-1908.8,-0.93,532.21,137.89,12.61,535.07,390.69,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-14,3,8.4,2310.95,2309.71,-10467.19,-0.91,530.29,138.14,15.42,626.34,387.12,2486.17,1491.7,745.85,45.44,0.0,0.02
2024-04-14,1,8.07,2324.73,2324.78,419.24,-0.91,534.01,138.0,19.56,599.68,422.01,2486.17,1491.7,745.85,45.44,0.0,0.02
2024-04-14,2,8.27,2306.47,2305.65,-6809.75,-0.93,530.31,134.48,11.06,502.41,408.58,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-15,3,7.8,2342.62,2310.0,-254476.38,-0.94,534.88,136.11,13.83,578.7,360.42,1456.79,874.08,437.04,35.0,300.0,0.01
2024-04-15,2,8.32,2320.41,2310.0,-86651.9,-0.92,535.0,135.24,17.98,458.48,362.08,1423.62,854.17,427.09,35.0,300.0,0.01
2024-04-15,1,8.07,2324.53,2310.0,-117326.48,-0.9,539.09,131.4,20.77,542.86,417.14,1381.29,828.77,414.39,35.0,300.0,0.01
2024-04-16,3,7.8,2346.23,2310.0,-282707.53,-0.91,531.22,137.34,15.59,458.36,353.49,1586.56,951.94,475.97,35.0,0.0,0.01
2024-04-16,1,8.12,2324.02,2310.0,-113851.59,-0.92,540.25,138.08,11.46,577.68,458.72,1379.35,827.61,413.8,35.0,0.0,0.02
2024-04-16,2,8.36,2318.9,2305.65,-110774.71,-0.92,541.29,138.13,16.48,528.31,407.03,2486.17,1491.7,745.85,45.44,538.9,0.02
2024-04-17,1,7.82,2316.2,2310.0,-48471.28,-0.92,539.55,135.71,24.48,527.86,469.67,1556.88,934.13,467.06,35.0,0.0,0.01
2024-04-17,3,8.47,2311.52,2309.71,-15387.62,-0.88,540.1,134.88,16.16,506.51,421.76,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-17,2,2.76,2254.29,2305.65,141950.96,-0.93,540.47,131.7,23.3,574.94,405.5,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-18,1,8.22,2289.7,2310.0,166771.23,-0.88,535.52,138.49,11.12,587.34,410.74,1374.27,824.56,412.28,35.0,0.0,0.01
2024-04-18,2,7.92,2285.71,2310.0,192395.7,-0.9,535.55,138.15,12.72,505.8,422.03,1426.12,855.67,427.83,35.0,0.0,0.02
2024-04-18,3,8.21,2302.47,2310.0,61879.35,-0.94,540.86,133.3,13.47,515.97,417.3,1501.72,901.03,450.52,35.0,0.0,0.01
2024-04-19,1,7.29,2335.29,2324.78,-76675.35,-0.9,535.8,128.08,12.16,550.78,455.17,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-19,2,1.3,2631.3,2305.65,-424649.64,-0.88,531.6,139.74,11.4,591.75,451.5,2486.17,1491.7,745.85,45.44,0.0,0.01
2024-04-19,3,8.36,2285.37,2310.0,206028.79,-0.9,532.89,128.34,11.15,463.71,431.58,1321.84,793.11,396.55,35.0,0.0,0.01
2024-04-20,3,8.35,2347.02,2310.0,-309039.51,-0.9,531.25,130.52,14.32,639.02,350.18,1463.52,878.11,439.06,35.0,0.0,0.02
2024-04-20,1,6.49,2342.58,2324.78,-115580.04,-0.93,538.74,132.74,23.1,514.89,443.03,2486.17,1491.7,745.85,45.44,0.0,0.02
2024-04-20,2,8.17,2316.93,2310.0,-56621.77,-0.94,541.62,129.1,12.45,552.25,405.9,1430.63,858.38,429.19,35.0,0.0,0.01
